kind	context	id	count	subjects
property	qualifier	P1013	8	8
property	qualifier	P1343	2	2
property	qualifier	P1476	4	4
property	qualifier	P1545	6207	6207
property	qualifier	P1683	9	9
property	qualifier	P1810	21	21
property	qualifier	P1932	3	3
property	qualifier	P2093	1	1
property	qualifier	P2096	20	16
property	qualifier	P21	1	1
property	qualifier	P2241	22	22
property	qualifier	P2441	312	296
property	qualifier	P276	6	2
property	qualifier	P2868	160	160
property	qualifier	P3005	1	1
property	qualifier	P304	59	59
property	qualifier	P3415	54	54
property	qualifier	P356	1	1
property	qualifier	P3680	68	68
property	qualifier	P3831	44	44
property	qualifier	P3903	24	24
property	qualifier	P407	87	87
property	qualifier	P4070	1	1
property	qualifier	P443	1	1
property	qualifier	P478	29	29
property	qualifier	P50	4	4
property	qualifier	P5102	13	13
property	qualifier	P5168	2	2
property	qualifier	P518	2	1
property	qualifier	P5185	3	3
property	qualifier	P5237	74	73
property	qualifier	P5548	542	542
property	qualifier	P5713	26	26
property	qualifier	P577	2	2
property	qualifier	P580	2	2
property	qualifier	P582	2	2
property	qualifier	P5830	519	514
property	qualifier	P585	507	507
property	qualifier	P5886	16	16
property	qualifier	P5980	33	33
property	qualifier	P6072	591	590
property	qualifier	P6191	1	1
property	qualifier	P6568	1	1
property	qualifier	P792	1	1
property	qualifier	P805	6	6
property	qualifier	P813	3	3
property	qualifier	P828	1	1
property	qualifier	P898	62	62
property	qualifier	P9531	853	811
property	qualifier	P958	3	3
property	qualifier	P9763	3538	3538
property	qualifier	P9764	3538	3538
property	qualifier	P996	7	7
property	statement	P10	3	3
property	statement	P101	1	1
property	statement	P1011	1	1
property	statement	P10261	20663	20663
property	statement	P10292	134	134
property	statement	P10339	878	877
property	statement	P10381	11	10
property	statement	P10822	25	24
property	statement	P11053	19	19
property	statement	P11054	19	19
property	statement	P11055	3	3
property	statement	P11070	517	516
property	statement	P11130	1	1
property	statement	P11138	599	590
property	statement	P11230	1	1
property	statement	P11512	18	18
property	statement	P11519	140977	140975
property	statement	P11520	1058	1040
property	statement	P11521	4111	4079
property	statement	P11522	12	12
property	statement	P11523	242	225
property	statement	P11524	26	26
property	statement	P11577	86	76
property	statement	P117	2	2
property	statement	P11750	1	1
property	statement	P11760	27	24
property	statement	P11951	16	16
property	statement	P12027	1	1
property	statement	P12056	1	1
property	statement	P12406	33	33
property	statement	P12410	17	15
property	statement	P1249	17	17
property	statement	P12527	2	1
property	statement	P12550	272	272
property	statement	P12641	51	50
property	statement	P12657	38	38
property	statement	P12868	12	12
property	statement	P12904	755	755
property	statement	P13258	28142	27939
property	statement	P1343	205	196
property	statement	P138	3	3
property	statement	P14505	2	2
property	statement	P1535	1	1
property	statement	P1552	19	19
property	statement	P166	6	6
property	statement	P1683	2	2
property	statement	P18	688	671
property	statement	P1813	2	2
property	statement	P2283	2	2
property	statement	P242	2	2
property	statement	P2441	4	4
property	statement	P276	1	1
property	statement	P2888	10	10
property	statement	P2910	2	2
property	statement	P31	11459	9375
property	statement	P361	4	4
property	statement	P366	3	3
property	statement	P3938	6	6
property	statement	P407	3	2
property	statement	P443	92958	86930
property	statement	P461	1	1
property	statement	P5137	16402	16318
property	statement	P518	6	4
property	statement	P5185	185885	183352
property	statement	P5187	2167	2167
property	statement	P5191	1969	1918
property	statement	P5194	1	1
property	statement	P5238	15026	7717
property	statement	P5279	5719	5685
property	statement	P5323	238	229
property	statement	P5401	1521	1412
property	statement	P5402	1583	1333
property	statement	P5526	1	1
property	statement	P5560	7	5
property	statement	P5713	231	204
property	statement	P582	1	1
property	statement	P5831	1278	998
property	statement	P5911	2503	2496
property	statement	P5923	251	250
property	statement	P5972	1635	781
property	statement	P5973	283	251
property	statement	P5974	104	99
property	statement	P5976	20	15
property	statement	P6084	171	128
property	statement	P61	1	1
property	statement	P6144	2	2
property	statement	P6191	501	442
property	statement	P6254	1	1
property	statement	P6271	402	401
property	statement	P6593	404	390
