internal_id	source_key	lexeme_ids_json	entity_sha256_json	lemma_json	stratum	pinned	proposal_option_id	constructor	expression	explicit_form_arguments	source_completeness	gf_fit	inference_confidence	review_status	structural_evidence	source_statement_ids_json	source_form_ids_json	p5548_evidence_json	field_evidence_json	complete_record_comparison	gf_record_sha256	pgf_sha256	gf_s_sg_nom_json	gf_s_sg_acc_json	gf_s_sg_dat_json	gf_s_sg_gen_json	gf_s_pl_nom_json	gf_s_pl_acc_json	gf_s_pl_dat_json	gf_s_pl_gen_json	gf_gender_json	gf_co_json	gf_uncap_s_sg_nom_json	gf_uncap_s_sg_acc_json	gf_uncap_s_sg_dat_json	gf_uncap_s_sg_gen_json	gf_uncap_s_pl_nom_json	gf_uncap_s_pl_acc_json	gf_uncap_s_pl_dat_json	gf_uncap_s_pl_gen_json	gf_uncap_co_json	gf_csep_json
wdn_000002_N	L2707	["L2707"]	["8e0a07dff947153b111eb243f8c90601bc35fe2057f176aa0a9cea19386cef4c"]	"Bibliothek"	explicit_combining	no	wdn_000002_p006	changeCompoundN+mkN_lemma_gender	P.changeCompoundN "Bibliotheks" (P.mkN "Bibliothek" P.feminine)	2	complete	exact_source_evidence	provisional	sampled	component_target	["L2707$74c1e2c0-418a-88f4-f36a-832dab14995f"]	{"co":["L2707-F9"],"s_pl_acc":["L2707-F8"],"s_pl_dat":["L2707-F7"],"s_pl_gen":["L2707-F6"],"s_pl_nom":["L2707-F5"],"s_sg_acc":["L2707-F4"],"s_sg_dat":["L2707-F3"],"s_sg_gen":["L2707-F2"],"s_sg_nom":["L2707-F1"]}	["L290667$457a3db3-4c87-3017-209e-8492b910db5d>L2707-F9"]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	f9587570408be9bff81c5a0c8254b5fce4f1c33875c3710e9bac07c1d619d715	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Bibliothek"	"Bibliothek"	"Bibliothek"	"Bibliothek"	"Bibliotheken"	"Bibliotheken"	"Bibliotheken"	"Bibliotheken"	"feminine"	"Bibliotheks"	"bibliothek"	"bibliothek"	"bibliothek"	"bibliothek"	"bibliotheken"	"bibliotheken"	"bibliotheken"	"bibliotheken"	"bibliotheks"	"bind"
wdn_000004_N	L3146	["L3146"]	["c1052fdbf46fb3d1da9d0fdb58c8e8ac3a1e3a9d45cd592b7168b4b6203e7a62"]	"Großeltern"	plural_only	yes	wdn_000004_p001	pluralOnlyN	P.pluralOnlyN "Großeltern"	1	complete	compatible_with_inference	provisional	sampled	explicit_compound_analysis	["L3146$2AAF321C-7D64-4D35-BB71-EC84066262DE","L3146$681fcc67-4a9a-b555-3b2e-da8e55899252","L3146$a075637d-4f4d-f131-2e61-739ff46fa471"]	{"s_pl_acc":["L3146-F4"],"s_pl_dat":["L3146-F3"],"s_pl_gen":["L3146-F2"],"s_pl_nom":["L3146-F1"]}	[]	{"co":"provisional_inference","csep":"provisional_inference","gender":"provisional_inference","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"unavailable","s_sg_dat":"unavailable","s_sg_gen":"unavailable","s_sg_nom":"unavailable","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"unavailable","uncap_s_sg_dat":"unavailable","uncap_s_sg_gen":"unavailable","uncap_s_sg_nom":"unavailable"}	yes	9f552d2e335c2e955a50fd1f390fa0709f63879ae8d1732815d2dcd3203a4ee4	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	""	""	""	""	"Großeltern"	"Großeltern"	"Großeltern"	"Großeltern"	"masculine"	"Großeltern"	""	""	""	""	"großeltern"	"großeltern"	"großeltern"	"großeltern"	"großeltern"	"bind"
wdn_000008_N	L6821	["L6821"]	["6931244031b06bdf674988e902151982e031ea5f3b39803972cb27b36911a88c"]	"Freitag"	explicit_combining	no	wdn_000008_p005	changeCompoundN+mkN_lemma	P.changeCompoundN "Freitags" (P.mkN "Freitag")	2	complete	exact_source_evidence	provisional	sampled	component_target	["L6821$8C379F16-E325-4F9F-B724-12C3699FE05C"]	{"co":["L6821-F9"],"s_pl_acc":["L6821-F8"],"s_pl_dat":["L6821-F7"],"s_pl_gen":["L6821-F6"],"s_pl_nom":["L6821-F5"],"s_sg_acc":["L6821-F4"],"s_sg_dat":["L6821-F3"],"s_sg_gen":["L6821-F2"],"s_sg_nom":["L6821-F1"]}	["L789090$4444d831-4a51-35f9-cf18-255f59efbdd0>L6821-F9"]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	c72ed8aaf87d81d04d8788b38c4863cda2f06e8cfac3059d6cb675c1e3028c3e	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Freitag"	"Freitag"	"Freitag"	"Freitags"	"Freitage"	"Freitage"	"Freitagen"	"Freitage"	"masculine"	"Freitags"	"freitag"	"freitag"	"freitag"	"freitags"	"freitage"	"freitage"	"freitagen"	"freitage"	"freitags"	"bind"
wdn_000009_N	L7119	["L7119"]	["253f5249d36fd29b57a0645bdee29a5750de278df12ad68004cf0245ee3994a3"]	"Quelle"	explicit_combining	no	wdn_000009_p001	mkN_lemma	P.mkN "Quelle"	1	complete	exact_source_evidence	provisional	sampled	component_target	["L7119$0C8A2C28-1619-47A8-B74F-7F073B7B7164"]	{"co":["L7119-F9"],"s_pl_acc":["L7119-F8"],"s_pl_dat":["L7119-F7"],"s_pl_gen":["L7119-F6"],"s_pl_nom":["L7119-F5"],"s_sg_acc":["L7119-F4"],"s_sg_dat":["L7119-F3"],"s_sg_gen":["L7119-F2"],"s_sg_nom":["L7119-F1"]}	[]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	42442d43dab6f2aef6c1551a545c95a70b481dd4827d3fbb5d99355f957e8046	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Quelle"	"Quelle"	"Quelle"	"Quelle"	"Quellen"	"Quellen"	"Quellen"	"Quellen"	"feminine"	"Quellen"	"quelle"	"quelle"	"quelle"	"quelle"	"quellen"	"quellen"	"quellen"	"quellen"	"quellen"	"bind"
wdn_000010_N	L7330	["L7330"]	["95a28f49ec1330b533f060c2ddc6abd2698553311c868d5dd32bc2c587659947"]	"Leuchtturmwärter"	regular_masculine	no	wdn_000010_p001	mkN_lemma	P.mkN "Leuchtturmwärter"	1	complete	exact_source_evidence	provisional	sampled	component_target	["L7330$7365F090-416A-48BE-A67D-7CF98968BC43","L7330$9D7A2CD8-E563-49C4-9539-E1522F5EE993"]	{"s_pl_acc":["L7330-F8"],"s_pl_dat":["L7330-F7"],"s_pl_gen":["L7330-F6"],"s_pl_nom":["L7330-F5"],"s_sg_acc":["L7330-F4"],"s_sg_dat":["L7330-F3"],"s_sg_gen":["L7330-F2"],"s_sg_nom":["L7330-F1"]}	[]	{"co":"provisional_inference","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	b4bb946537a543de6e9bd17008dc4286557fc9e13cebd975d73565967bb4a9f1	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Leuchtturmwärter"	"Leuchtturmwärter"	"Leuchtturmwärter"	"Leuchtturmwärters"	"Leuchtturmwärter"	"Leuchtturmwärter"	"Leuchtturmwärtern"	"Leuchtturmwärter"	"masculine"	"Leuchtturmwärter"	"leuchtturmwärter"	"leuchtturmwärter"	"leuchtturmwärter"	"leuchtturmwärters"	"leuchtturmwärter"	"leuchtturmwärter"	"leuchtturmwärtern"	"leuchtturmwärter"	"leuchtturmwärter"	"bind"
wdn_000012_N	L10227	["L10227"]	["e32b12da63f74f610f4c9772b9a54e592e78ff5875886a45c53d575d7e54be99"]	"Wespenstich"	regular_masculine	yes	wdn_000012_p001	mkN_lemma	P.mkN "Wespenstich"	1	complete	exact_source_evidence	provisional	sampled	explicit_compound_analysis	["L10227$08D96411-7F24-4B47-A1C3-3784A9CF26F1","L10227$3143d903-4d11-ac2e-5031-451c3e4dc14e","L10227$8b4e3b5d-4ead-ea65-6b88-f35894d86f69"]	{"s_pl_acc":["L10227-F8"],"s_pl_dat":["L10227-F7"],"s_pl_gen":["L10227-F6"],"s_pl_nom":["L10227-F5"],"s_sg_acc":["L10227-F4"],"s_sg_dat":["L10227-F3"],"s_sg_gen":["L10227-F2"],"s_sg_nom":["L10227-F1"]}	[]	{"co":"provisional_inference","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	fadde1ff253c1650f61e61e64054d7aa7a5f943935e6f5e54ede6b1053cdfa12	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Wespenstich"	"Wespenstich"	"Wespenstich"	"Wespenstichs"	"Wespenstiche"	"Wespenstiche"	"Wespenstichen"	"Wespenstiche"	"masculine"	"Wespenstich"	"wespenstich"	"wespenstich"	"wespenstich"	"wespenstichs"	"wespenstiche"	"wespenstiche"	"wespenstichen"	"wespenstiche"	"wespenstich"	"bind"
wdn_000013_N	L29361	["L29361"]	["656ad56a6dd17d27a980d1fe98db5473517cf44301e607c7e13bd7a5a38b8f8e"]	"Erinnerung"	explicit_combining	no	wdn_000013_p001	mkN_lemma	P.mkN "Erinnerung"	1	complete	exact_source_evidence	provisional	sampled	component_target	["L29361$680B56BF-63D3-4508-BA30-B300A9917848"]	{"co":["L29361-F9"],"s_pl_acc":["L29361-F8"],"s_pl_dat":["L29361-F7"],"s_pl_gen":["L29361-F6"],"s_pl_nom":["L29361-F5"],"s_sg_acc":["L29361-F4"],"s_sg_dat":["L29361-F3"],"s_sg_gen":["L29361-F2"],"s_sg_nom":["L29361-F1"]}	[]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	89ffa37529f096165a23b2cbe8b06657f056143adc76e9ba1c4f58c93b123eca	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Erinnerung"	"Erinnerung"	"Erinnerung"	"Erinnerung"	"Erinnerungen"	"Erinnerungen"	"Erinnerungen"	"Erinnerungen"	"feminine"	"Erinnerungs"	"erinnerung"	"erinnerung"	"erinnerung"	"erinnerung"	"erinnerungen"	"erinnerungen"	"erinnerungen"	"erinnerungen"	"erinnerungs"	"bind"
wdn_000015_N	L31889	["L31889"]	["f74f03e189209990e4b866bf22a807b83dfdaf227359704ddab8aa0064f23660"]	"Nagelbett"	regular_neuter	no	wdn_000015_p007	mkN_two	P.mkN "Nagelbett" "Nagelbette" P.neuter	2	complete	exact_source_evidence	provisional	sampled	explicit_compound_analysis	["L31889$73A9F719-B056-49D4-B665-F925948F4E86","L31889$9a3e458b-483f-53dc-5641-f97fdd8a75d4","L31889$d217f81c-4de0-4281-9d58-fef407af9542"]	{"s_pl_acc":["L31889-F8"],"s_pl_dat":["L31889-F7"],"s_pl_gen":["L31889-F6"],"s_pl_nom":["L31889-F5"],"s_sg_acc":["L31889-F4"],"s_sg_dat":["L31889-F3"],"s_sg_gen":["L31889-F2"],"s_sg_nom":["L31889-F1"]}	[]	{"co":"provisional_inference","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	26fdec7580bbe1e66d3f07cbeb51e4974ae3d6f5693612c54f4e96bacfd96ed6	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Nagelbett"	"Nagelbett"	"Nagelbett"	"Nagelbetts"	"Nagelbette"	"Nagelbette"	"Nagelbetten"	"Nagelbette"	"neuter"	"Nagelbett"	"nagelbett"	"nagelbett"	"nagelbett"	"nagelbetts"	"nagelbette"	"nagelbette"	"nagelbetten"	"nagelbette"	"nagelbett"	"bind"
wdn_000016_N	L36208	["L36208"]	["c32a965af4cde0ada6ba1d8b5eaf18bb60af7b43789e80e5f4f44893a2cb505f"]	"Bevölkerung"	explicit_combining	no	wdn_000016_p001	mkN_lemma	P.mkN "Bevölkerung"	1	complete	exact_source_evidence	provisional	sampled	component_target	["L36208$35F23495-2A9E-4BA7-8E79-E1F61BB701DC"]	{"co":["L36208-F9"],"s_pl_acc":["L36208-F8"],"s_pl_dat":["L36208-F7"],"s_pl_gen":["L36208-F6"],"s_pl_nom":["L36208-F5"],"s_sg_acc":["L36208-F4"],"s_sg_dat":["L36208-F3"],"s_sg_gen":["L36208-F2"],"s_sg_nom":["L36208-F1"]}	["L296831$9dc58828-4b94-f3c2-c92a-e68a70cde010>L36208-F9"]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	18aca0fa6e91ce4694992841a90e0dd7200aa5bc4cb59b01add20fcffa6d8eb0	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Bevölkerung"	"Bevölkerung"	"Bevölkerung"	"Bevölkerung"	"Bevölkerungen"	"Bevölkerungen"	"Bevölkerungen"	"Bevölkerungen"	"feminine"	"Bevölkerungs"	"bevölkerung"	"bevölkerung"	"bevölkerung"	"bevölkerung"	"bevölkerungen"	"bevölkerungen"	"bevölkerungen"	"bevölkerungen"	"bevölkerungs"	"bind"
wdn_000017_N	L37560	["L37560"]	["97236e6d3fda0b9eec9cd5e5953c32b17a867cd8690a9d10c5433c8755beccea"]	"Kugel"	explicit_combining	no	wdn_000017_p009	invarN_two	P.invarN "Kugel" "Kugeln" P.feminine	2	complete	exact_source_evidence	provisional	sampled	component_target	["L37560$66A9F302-E9B4-4F2A-B468-1D42DAEA0810"]	{"co":["L37560-F9"],"s_pl_acc":["L37560-F8"],"s_pl_dat":["L37560-F7"],"s_pl_gen":["L37560-F6"],"s_pl_nom":["L37560-F5"],"s_sg_acc":["L37560-F4"],"s_sg_dat":["L37560-F3"],"s_sg_gen":["L37560-F2"],"s_sg_nom":["L37560-F1"]}	["L204808$C583DB76-457C-473D-8F28-726B6638D881>L37560-F9","L7637$f12c7841-4d03-874a-8d38-306e6a23df98>L37560-F9","L852186$4D93762F-EC73-4327-B73F-5FA48CD40DDA>L37560-F9","L852356$FF1E4025-7CE9-4D53-B9E7-9CFA9273195E>L37560-F9","L852371$DB592893-3867-4FBC-810B-F898820CC8CA>L37560-F9","L852881$08752488-9E9C-473A-9A95-1E478EC7CF42>L37560-F9"]	{"co":"source_exact","csep":"provisional_inference","gender":"source_exact","s_pl_acc":"source_exact","s_pl_dat":"source_exact","s_pl_gen":"source_exact","s_pl_nom":"source_exact","s_sg_acc":"source_exact","s_sg_dat":"source_exact","s_sg_gen":"source_exact","s_sg_nom":"source_exact","uncap_co":"reviewed_inference","uncap_s_pl_acc":"reviewed_inference","uncap_s_pl_dat":"reviewed_inference","uncap_s_pl_gen":"reviewed_inference","uncap_s_pl_nom":"reviewed_inference","uncap_s_sg_acc":"reviewed_inference","uncap_s_sg_dat":"reviewed_inference","uncap_s_sg_gen":"reviewed_inference","uncap_s_sg_nom":"reviewed_inference"}	yes	2908caf002d01c25fed3dd4c0217f1f2dc259a36a5f936add70638f3bbfa918b	537756d1f474dff804f2564fc787e3f6777d12b4b73dd31811dcf66f04d6bea4	"Kugel"	"Kugel"	"Kugel"	"Kugel"	"Kugeln"	"Kugeln"	"Kugeln"	"Kugeln"	"feminine"	"Kugel"	"kugel"	"kugel"	"kugel"	"kugel"	"kugeln"	"kugeln"	"kugeln"	"kugeln"	"kugel"	"bind"
