lexical_category_qid	feature_bundle	forms	lexemes	representations	distinct_values
Q102047		290	290	290	288
Q102047	Q107614077	2	2	2	2
Q102047	Q110786	1	1	1	1
Q102047	Q110786|Q131105	12	10	12	12
Q102047	Q110786|Q145599	11	9	11	11
Q102047	Q110786|Q146078	11	9	11	11
Q102047	Q110786|Q146233	13	10	13	13
Q102047	Q131105|Q146786	11	9	11	11
Q102047	Q145599|Q146786	11	9	11	11
Q102047	Q146078|Q146786	11	9	11	11
Q102047	Q146233|Q146786	11	9	11	11
Q102047	Q146786	1	1	1	1
Q102047	Q3482678	1	1	1	1
Q102786		3	3	3	3
Q102786	Q110786|Q131105	2	2	2	2
Q102786	Q110786|Q145599	1	1	1	1
Q102786	Q110786|Q146078	1	1	1	1
Q102786	Q110786|Q146233	1	1	1	1
Q1050744		2	2	2	2
Q1050744	Q110786|Q131105|Q1775415	1	1	1	1
Q1050744	Q110786|Q131105|Q1775461	1	1	1	1
Q1050744	Q110786|Q131105|Q499327	1	1	1	1
Q1050744	Q110786|Q145599|Q1775415	1	1	1	1
Q1050744	Q110786|Q145599|Q1775461	1	1	1	1
Q1050744	Q110786|Q145599|Q499327	1	1	1	1
Q1050744	Q110786|Q146078|Q1775415	1	1	1	1
Q1050744	Q110786|Q146078|Q1775461	1	1	1	1
Q1050744	Q110786|Q146078|Q499327	1	1	1	1
Q1050744	Q110786|Q146233|Q1775415	1	1	1	1
Q1050744	Q110786|Q146233|Q1775461	1	1	1	1
Q1050744	Q110786|Q146233|Q499327	1	1	1	1
Q1050744	Q131105	1	1	1	1
Q1050744	Q131105|Q146786	1	1	1	1
Q1050744	Q145599|Q146786	1	1	1	1
Q1050744	Q146078|Q146786	1	1	1	1
Q1050744	Q146233|Q146786	1	1	1	1
Q1084		45	40	45	45
Q1084	Q102786	1	1	1	1
Q1084	Q107614077	376	370	376	374
Q1084	Q110786	25	25	25	25
Q1084	Q110786|Q131105	178837	177573	178910	178571
Q1084	Q110786|Q131105|Q145599|Q146078	1	1	1	1
Q1084	Q110786|Q131105|Q3481903	1	1	1	1
Q1084	Q110786|Q131105|Q56352306	3	3	3	3
Q1084	Q110786|Q131105|Q7977953	2	2	2	2
Q1084	Q110786|Q145599	180471	177526	180541	180152
Q1084	Q110786|Q145599|Q55094451	2	2	2	1
Q1084	Q110786|Q145599|Q56352306	3	3	3	3
Q1084	Q110786|Q145599|Q7977953	1	1	1	1
Q1084	Q110786|Q146078	178905	177504	178975	178612
Q1084	Q110786|Q146078|Q56352306	3	3	3	3
Q1084	Q110786|Q146078|Q7977953	1	1	1	1
Q1084	Q110786|Q146233	208743	177533	208804	208429
Q1084	Q110786|Q146233|Q56352306	4	3	4	4
Q1084	Q110786|Q146233|Q7977953	1	1	1	1
Q1084	Q131105	26	24	26	26
Q1084	Q131105|Q146078|Q146233	1	1	1	1
Q1084	Q131105|Q146078|Q146233|Q146786	1	1	1	1
Q1084	Q131105|Q146786	163482	160107	163532	162789
Q1084	Q131105|Q146786|Q3481903	3	3	3	2
Q1084	Q131105|Q146786|Q56352306	2	2	2	2
Q1084	Q131105|Q146786|Q7977953	3	3	3	2
Q1084	Q145599	2	2	2	2
Q1084	Q145599|Q146786	161961	160085	162011	161042
Q1084	Q145599|Q146786|Q3481903	1	1	1	1
Q1084	Q145599|Q146786|Q56352306	2	2	2	2
Q1084	Q145599|Q146786|Q7977953	1	1	1	1
Q1084	Q146078	8	8	8	8
Q1084	Q146078|Q146786	163443	160076	163493	162753
Q1084	Q146078|Q146786|Q3481903	3	3	3	2
Q1084	Q146078|Q146786|Q56352306	2	2	2	2
Q1084	Q146078|Q146786|Q7977953	3	3	3	2
Q1084	Q146233	1	1	1	1
Q1084	Q146233|Q146786	163452	160083	163502	162767
Q1084	Q146233|Q146786|Q3481903	3	3	3	2
Q1084	Q146233|Q146786|Q56352306	2	2	2	2
Q1084	Q146233|Q146786|Q7977953	3	3	3	2
Q1084	Q146786	27	27	27	27
Q10976085		5	5	5	5
Q10976085	Q179230	1	1	1	1
Q1122269		4	4	4	4
Q1153504		1	1	1	1
Q12355361		2	1	2	2
Q126473		5	5	5	5
Q126473	Q145599|Q1775415	1	1	1	1
Q126473	Q145599|Q1775461	13	13	13	13
Q126473	Q145599|Q499327	13	13	13	13
Q126473	Q146078|Q1775461	9	9	9	9
Q134830		332	330	332	331
Q134830	Q57156426	2	1	2	2
Q134830	Q57156560	2	1	2	2
Q1401131		2	2	2	2
Q1401131	Q110786|Q131105	7	7	7	7
Q1401131	Q110786|Q145599	7	7	7	7
Q1401131	Q110786|Q146078	7	7	7	7
Q1401131	Q110786|Q146233	8	7	8	8
Q1401131	Q131105|Q146786	4	4	4	4
Q1401131	Q145599|Q146786	4	4	4	4
Q1401131	Q146078|Q146786	4	4	4	4
Q1401131	Q146233|Q146786	4	4	4	4
Q147276		86	80	86	86
Q147276	Q110786|Q131105	1028	1023	1032	1023
Q147276	Q110786|Q145599	1057	1048	1062	1053
Q147276	Q110786|Q145599|Q1775415	1	1	1	1
Q147276	Q110786|Q145599|Q499327	1	1	1	1
Q147276	Q110786|Q146078	1024	1019	1028	1019
Q147276	Q110786|Q146233	1650	1006	1656	1642
Q147276	Q110786|Q146233|Q1775415	7	7	7	7
Q147276	Q110786|Q146233|Q499327	7	7	7	7
Q147276	Q131105	22	22	22	22
Q147276	Q131105|Q146786	123	111	123	123
