internal_id	source_key	lexeme_ids_json	entity_sha256_json	lemma_json	stratum	pinned	source_completeness	gf_fit	inference_confidence	review_status	rejection_reason	residual_api_gap	structural_evidence	genders_json	number_restriction	source_statement_ids_json	source_form_ids_json	combining_forms_json	p5548_evidence_json	diagnostics_json	compared_options	fitting_variants
wdn_000001_N	L2208	["L2208"]	["fe64bcc888196c81a5384de8ecc5381fad2015bd407f0b1a9d8c0882720bce24"]	"Literatur"	rejected_feature	no	complete	unrepresentable	unavailable	rejected	unsupported_form_feature		component_target	["feminine"]	ordinary	["L2208$542c3cfa-415b-af8c-9f7d-a298a29a6fbf"]	{"s_pl_acc":["L2208-F9"],"s_pl_dat":["L2208-F8"],"s_pl_gen":["L2208-F7"],"s_pl_nom":["L2208-F6"],"s_sg_acc":["L2208-F5"],"s_sg_dat":["L2208-F4"],"s_sg_gen":["L2208-F3"],"s_sg_nom":["L2208-F2"]}	[]	[]	["non_slot_form_bundle","rejected_noun_form_feature"]	0	0
wdn_000003_N	L2957	["L2957"]	["d963d6ca37676b25d4947b5ee5ccfe6d692e6b347cbee65af30ced32b1eb430a"]	"Haus"	ambiguous_combining	no	complete	unrepresentable	unavailable	rejected	ambiguous_multiple_combining_forms		component_target	["neuter"]	ordinary	["L2957$bcece381-49eb-7872-0593-1a224dc5ba10","L2957$f6e64955-4cc8-cd02-191b-364347093f2b"]	{"co":["L2957-F10","L2957-F9"],"s_pl_acc":["L2957-F8"],"s_pl_dat":["L2957-F7"],"s_pl_gen":["L2957-F6"],"s_pl_nom":["L2957-F1"],"s_sg_acc":["L2957-F5"],"s_sg_dat":["L2957-F4"],"s_sg_gen":["L2957-F2"],"s_sg_nom":["L2957-F3"]}	[{"form_id":"L2957-F10","value":"Häuser"},{"form_id":"L2957-F9","value":"Haus"}]	["L824188$43eae51f-4423-5be5-f07e-ee1fa6cbc185>L2957-F10"]	["multiple_combining_forms"]	0	0
wdn_000005_N	L6692	["L6692"]	["9da4860c679b0a2338f81b8a0c0d20f7af6781c8efd49622d4d79d1d63f18862"]	"Gedankenfreiheit"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["feminine"]	singular_only	["L6692$18d67537-4d52-e902-beaa-eafbcbcdcedf","L6692$29a8393a-4238-af80-380f-86241b017237","L6692$6A4294BB-D1FB-4031-987C-4393E5F99BCE","L6692$86DC6D51-3F9A-45FC-980E-AD22F1F606A4"]	{"s_sg_acc":["L6692-F4"],"s_sg_dat":["L6692-F3"],"s_sg_gen":["L6692-F2"],"s_sg_nom":["L6692-F1"]}	[]	[]	[]	0	0
wdn_000006_N	L6726	["L6726"]	["032f5c99f882fac136b6609c17b61543f83b78e0c4c06c4fb202410803322069"]	"Schmutz"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	component_target	["masculine"]	singular_only	["L6726$3E360C07-74CC-4A23-9F05-2E927C45932D","L6726$ED70210F-C010-4E1B-A64A-3F0434FBF81F"]	{"s_sg_acc":["L6726-F4"],"s_sg_dat":["L6726-F3"],"s_sg_gen":["L6726-F2"],"s_sg_nom":["L6726-F1"]}	[]	[]	[]	0	0
wdn_000007_N	L6752	["L6752"]	["7d02cafb954c7e696e2f1942abed8c00c78e16d238fbe235cc41059a400fe53c"]	"Dezimalsystem"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["neuter"]	singular_only	["L6752$0cbced8f-46a9-e8c9-22a8-3d83aaf4ca6d","L6752$DF43F88C-C868-45D3-BD3B-913C00BB2194","L6752$FCA6331F-4A4F-4FFD-9EAB-86052EE81D95","L6752$a08aefce-4ae1-549a-56a3-36204b879029"]	{"s_sg_acc":["L6752-F4"],"s_sg_dat":["L6752-F3"],"s_sg_gen":["L6752-F2"],"s_sg_nom":["L6752-F1"]}	[]	[]	[]	0	0
wdn_000011_N	L7630	["L7630"]	["fcbbcfa15bae6c9ecbe403ffa9bd79a5186a11286b17efd8b50bcac0b3f8b16e"]	"Ball"	rejected_feature	no	conflicting	unrepresentable	unavailable	rejected	unsupported_form_feature		component_target	["masculine"]	ordinary	["L7630$D0F0093D-DDC5-4287-BC8E-30FB9E64CC09"]	{"s_pl_acc":["L7630-F10"],"s_pl_dat":["L7630-F9"],"s_pl_gen":["L7630-F8"],"s_pl_nom":["L7630-F7"],"s_sg_acc":["L7630-F6"],"s_sg_dat":["L7630-F4","L7630-F5"],"s_sg_gen":["L7630-F2","L7630-F3"],"s_sg_nom":["L7630-F1"]}	[]	[]	["conflicting_slots","rejected_noun_form_feature"]	0	0
wdn_000014_N	L31684	["L31684"]	["5592754abfd2874eace517532d5a5e983f338ee80740ec45550fa9c98f7ef1b7"]	"Weltschmerz"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["masculine"]	singular_only	["L31684$0133c0df-4154-5ceb-abf3-7498fca37dce","L31684$059EB0AC-2DF7-47DF-B782-01286B21C80C","L31684$3d4f0249-4f72-f63f-1aa4-8681940be9d5","L31684$B2E2B68F-A4AE-4C4C-8619-1D5E8A976D46"]	{"s_sg_acc":["L31684-F4"],"s_sg_dat":["L31684-F3"],"s_sg_gen":["L31684-F2"],"s_sg_nom":["L31684-F1"]}	[]	[]	[]	0	0
wdn_000021_N	L222021	["L222021"]	["e0ff002591cea814488f85bcff7d2f39bd3badee33dc78beb78e5d2a529747d8"]	"Sitzfleisch"	singular_only	no	complete	unrepresentable	unavailable	rejected	residual_api_gap_singular_only	missing_public_singular_only_noun_constructor	explicit_compound_analysis	["neuter"]	singular_only	["L222021$5EAD3339-7431-4F1C-9D40-8231420AEDE2","L222021$9446c8d5-496c-0b02-f4da-05eb976041e7","L222021$F475DFD8-85AB-496E-B423-14254E5DB869","L222021$ef82267b-4400-bc85-9bbc-1e2df39600df"]	{"s_sg_acc":["L222021-F4"],"s_sg_dat":["L222021-F3"],"s_sg_gen":["L222021-F2"],"s_sg_nom":["L222021-F1"]}	[]	[]	[]	0	0
wdn_000024_N	L228303	["L228303"]	["7a8c8be95e497dfca157e2c1c4133496355722aabcf71be00d226f7f71849377"]	"Geburt"	ambiguous_combining	no	complete	unrepresentable	unavailable	rejected	ambiguous_multiple_combining_forms		component_target	["feminine"]	ordinary	["L228303$101175dc-4374-1d2e-0877-30932e2a6d26","L228303$B481FAB3-2153-4FEE-893E-2E446218080F"]	{"co":["L228303-F10","L228303-F9"],"s_pl_acc":["L228303-F8"],"s_pl_dat":["L228303-F7"],"s_pl_gen":["L228303-F6"],"s_pl_nom":["L228303-F5"],"s_sg_acc":["L228303-F4"],"s_sg_dat":["L228303-F3"],"s_sg_gen":["L228303-F2"],"s_sg_nom":["L228303-F1"]}	[{"form_id":"L228303-F10","value":"Geburten"},{"form_id":"L228303-F9","value":"Geburts"}]	["L228301$8fbe1706-4b08-2d57-1687-af1dcf4127b2>L228303-F9","L615942$388e7935-4d38-3f54-99f5-837d94d56ec5>L228303-F9"]	["multiple_combining_forms"]	0	0
wdn_000025_N	L230338	["L230338"]	["c29a8926a79ca28bce41cc5a7adf4a20be311042234e3dfc8bb8032a5fc85397"]	"Gast"	ambiguous_combining	no	complete	unrepresentable	unavailable	rejected	ambiguous_multiple_combining_forms		component_target	["masculine"]	ordinary	["L230338$BFF480B7-81B4-4BB9-90EA-11D78B8209A4"]	{"co":["L230338-F10","L230338-F9"],"s_pl_acc":["L230338-F8"],"s_pl_dat":["L230338-F7"],"s_pl_gen":["L230338-F6"],"s_pl_nom":["L230338-F5"],"s_sg_acc":["L230338-F4"],"s_sg_dat":["L230338-F3"],"s_sg_gen":["L230338-F2"],"s_sg_nom":["L230338-F1"]}	[{"form_id":"L230338-F10","value":"Gast"},{"form_id":"L230338-F9","value":"Gäste"}]	[]	["multiple_combining_forms"]	0	0
